"SiteID","SiteName","Region","Latitude","Longitude","Country","Notes","time_added","user_added","time_last_update","user_last_update"
"S11244","Skadberg",NA,58.885,5.671,"Norway",NA,"2022-09-28 16:44:58","claudia@localhost","2022-09-28 16:44:58","claudia@localhost"
"S11250","Tjemslandsmarka",NA,58.619,5.664,"Norway",NA,"2022-09-29 09:46:53","claudia@localhost","2022-09-29 09:46:53","claudia@localhost"
"S11259","Stiurhelleren",NA,66.278,14.078,"Norway","within 10 km","2022-10-05 11:48:09","claudia@localhost","2022-10-05 11:48:09","claudia@localhost"
"S11294","Havnø",NA,56.709,10.171,"Denmark",NA,"2022-11-25 13:18:51","robert@localhost","2022-11-25 13:18:51","robert@localhost"
"S11377","Голямо Делчево; Golyamo Delchevo; Goljamo Delčevo",NA,43.223,27.818,"Bulgaria","position asumed (approximate location) by maps/figures in publications","2023-01-11 12:29:46","jelena@localhost","2023-01-11 12:29:46","jelena@localhost"
"S11381","Ракитово; Rakitovo",NA,41.989,24.087,"Bulgaria","location of the town","2023-01-11 12:29:46","jelena@localhost","2023-01-11 12:29:46","jelena@localhost"
"S11382","Драма; Drama; Драма-Герена; Drama-Gerena",NA,42.245,26.438,"Bulgaria","location of the village","2023-01-11 12:29:46","jelena@localhost","2023-01-11 12:29:46","jelena@localhost"
"S11385","Ваксево; Vaksevo",NA,42.167,22.867,"Bulgaria","location of the town","2023-01-11 12:29:46","jelena@localhost","2023-01-11 12:29:46","jelena@localhost"
"S11388","Градешница; Gradeshnitsa",NA,43.484,23.48,"Bulgaria","location of the village","2023-01-11 12:29:46","jelena@localhost","2023-01-11 12:29:46","jelena@localhost"
"S11391","Подгорица; Podgoritsa",NA,43.324,26.451,"Bulgaria","position asumed (approximate location) by maps/figures in publications","2023-01-11 12:29:46","jelena@localhost","2023-01-11 12:29:46","jelena@localhost"
"S11394","Копривец; Koprivec; Koprivets",NA,43.409,25.879,"Bulgaria","location of the village","2023-01-11 12:29:46","jelena@localhost","2023-01-11 12:29:46","jelena@localhost"
"S11703","Tilla Bulak",NA,37.576,66.565,"Uzbekistan","Site location to town with GoogleMaps; within 10 km guesstimate","2023-02-23 12:22:31","sam@localhost","2023-02-23 12:22:31","sam@localhost"
"S11714","Měšice u Prahy",NA,50.199,14.52,"Czechia / Czech Republic",NA,"2023-02-27 14:06:04","jan@localhost","2023-07-24 14:43:57","robert@localhost"
